2021-05-15T02:39:04,838 TRACE [Test worker]: GunProviderController                - addGunProvider - method entered; gunProviderDto = GunProviderDto(super=BaseDto(id=5), name=gp1, speciality=spec1, reputation=3, gunTypeDtos=null) 
2021-05-15T02:39:04,838 TRACE [Test worker]: GunProviderController                - addGunProvider - method finished; resultModel = null 
2021-05-15T02:42:07,765 WARN  [Test worker]: PageNotFound                         - No mapping found for HTTP request with URI [/gun-Types] in DispatcherServlet with name '' 
2021-05-15T02:42:22,862 TRACE [Test worker]: GunTypeController                    - getAllGunTypes - method entered; 
2021-05-15T02:42:22,871 TRACE [Test worker]: GunTypeController                    - getAllGunTypes - method finished; result = [GunTypeDto(name=gt2, category=RIFLE, gunProvider=null), GunTypeDto(name=gt1, category=PISTOL, gunProvider=null)] 
2021-05-15T02:42:29,425 TRACE [Test worker]: GunTypeController                    - addGunType - method entered; gunTypeDto = GunTypeDto(name=gt1, category=RIFLE, gunProvider=null) 
2021-05-15T02:43:55,466 TRACE [Test worker]: GunTypeController                    - deleteGunType - method entered; result = null 
2021-05-15T02:43:55,473 TRACE [Test worker]: GunTypeController                    - deleteGunType - method finished 
2021-05-15T02:44:00,945 TRACE [Test worker]: GunTypeController                    - updateGunType - method entered; dto = GunTypeDto(name=gt1, category=PISTOL, gunProvider=null) 
2021-05-15T02:44:00,954 TRACE [Test worker]: GunTypeController                    - updateGunType - method finished; result = null 
2021-05-15T02:44:12,139 TRACE [Test worker]: GunTypeController                    - getAllGunTypes - method entered; 
2021-05-15T02:44:12,146 TRACE [Test worker]: GunTypeController                    - getAllGunTypes - method finished; result = [GunTypeDto(name=gt2, category=RIFLE, gunProvider=null), GunTypeDto(name=gt1, category=PISTOL, gunProvider=null)] 
2021-05-15T02:44:28,406 TRACE [Test worker]: GunProviderController                - deleteGunProvider - method entered; result = null 
2021-05-15T02:44:28,406 TRACE [Test worker]: GunProviderController                - deleteGunProvider - method finished; 
2021-05-15T02:44:28,590 TRACE [Test worker]: GunProviderController                - updateGunProvider - method entered; dto = GunProviderDto(super=BaseDto(id=1), name=gp1, speciality=spec1, reputation=3, gunTypeDtos=null) 
2021-05-15T02:44:28,599 TRACE [Test worker]: GunProviderController                - updateGunProvider - method finished; result = null 
